reviews,sentiment
I'd put it in with the Disney classics. Classic movie of all time,positive
This film is so good! one of my favourite films,positive
Forever a favorite of mine ,positive
Great songs and a good villain make  and a great sidekick.,positive
An Underrated Gem. this film is enjoyable and fun to watch. Filled with vibrant performances,positive
Best Comedy of the 90s. funniest and most heart-warming comedy.  it makes you laugh.,positive
"Fantastic comedy movie. This movie had great, creative, hilarious scenes mixed with an emotional and heartfelt story while at the same time remaining true to the elements of the original.",positive
"A divine comedy.This movie had great, creative, hilarious scenes mixed with an emotional and heartfelt story while at the same time remaining true to the elements of the original.",positive
"A masterpiece! Spiritually uplifting. Touches the heart and soul deeply. it is unequaled in it's beauty, sensitivity and deep spiritual perception",positive
A milestone of revelation. unlocking doors to a greater understanding.,positive
"A masterpiece filmed, edited and directed by geniuses. What a spectacular production! There is a very unique story told to the whole of mankind",positive
"Visually stunning.  well selected and filmed images. Overall, well worth watching.",positive
"One Of a Kind !! The movie manages to be funny, if predictable, and occasionally borders on heart-warming, in a touching moment,",positive
"Pure hilarity. Every time I watch this movie, I always crack up and laugh so hard",positive
"Brilliant content ,Brilliant Score and Brilliant Direction. Seen it ages ago ,still the memories stay as fresh as seen the first time.",positive
This is a terrific movie! Outstanding performance,positive
It's a captivating story . one of those movies one has to see several times,positive
"Beautiful, compelling and thought-provoking film and never boring ",positive
"A stylish and excellent example of expert story-telling. The plot is excellently written and told. The pace is perfect. I wasn't bored for a second, nor did I ever really want it to move faster or slower. The cinematography is magnificent, and incredibly well-integrated.",positive
"Has not Aged and Gets Better with the Years. a funny and thoughtful film, supported by a great cast and witty dialogues and situations.",positive
"Entertaining and fun. the whole cast is talented and it's pretty much an ensemble effort.",positive
"Intense, meaningful and surprisingly funny.  This is an excellent film. Watch it, watch it again and then re-watch it. You won't be disappointed.",positive
"The emphasis on facial expression, the length of dialog and the sheer drama make the watching of the movie a unique experience. ",positive
"This is officially my favorite film of all time!. A consistently smart legal thriller, one that I continue to watch at least once every second week.",positive
a must see movie. With so many talented actor this movie is a classic.I enjoyed this movie very much,positive
Definitely Worth Seeing It is a very beautiful demonstration of Australian cinema (and proudly so) that is greatly underrated and underviewed. I advise anyone to watch this film.,positive
The acting is extremely brilliant as well as is the cinematography which is appropriately gritty. you will thoroughly enjoy this movie.,positive
"This movie is brilliant. It has great actors, real new music, good editing",positive
"a thematically complex piece that for all its violence, debunking and melancholy pulse beats, is a film that is as beautiful as it is most assuredly stark. An incredible and true highlight of modern day cinema",positive
It is an excellent affair. The whole movie from beginning to end is clutching. It grabs your attention and never lets go.,negative
The script stinks filmmakers run out of ideas about what to do with a big baby,negative
Pretty lame. the squel is absolutely terrible,negative
"they tried, but it just wasn't funny.  I was not impressed.",negative
When will they learn? it stinks next to the original. this one is a very large step down,negative
"they blew the sequel. This is a bad sequel. Bad acting, bad script",negative
"Bad, really bad. This has got to be one of the worst pieces of crap ever put on film.",negative
Long and pointless. This is a sub-par sequel that had no heart and no soul. It was a money grab. Overtime the film has fallen out of public's eye,negative
Nonsense.  I felt I was uanble to properly process/understand and appreciate many of the images because of their lack of context or any explanation.,negative
This movie does not work.,negative
needs more context. I felt that something was missing. ,negative
"manipulative, racist, simple-minded, self-congratulating",negative
Dsigusting. This MOVIE is not a `rich spiritual statement/journey' It is pure tripe.,negative
Pretentious and Boring,negative
There is hardly any originality.,negative
I still don't get it. seem artificial and engineered.  I was just amazed at how bad this film really looked to a more mature person. ,negative
"One of the most inane and dated movies of our time. He is cool, but he cannot act.",negative
Don't Believe The Hype - It's Not That Good. This must be the most overrated movie of the 1990s,negative
"Shallow, unintelligent and pretentious. The story is very thin, and to sum up the what you see on the screen most of the time: ",negative
"Dumb and boring. . a cliche story, badly told, with non believable characters",negative
Depressing for no reason. I did not enjoy myself nor was I moved to think of anything interesting,negative
"It Stinks! most disappointing movie for me. The plot was insipid, the camera shots were nauseating, and the movie, itself, was a flop if you asked me. ",negative
"Naive It's a well made movie, but I could not bear the naivete.",negative
"I felt the script was very bad. Unrealistically verbose dialogue permeates. Much cringing by the viewer ensues, assuming the viewer is of normal intelligence. It's not a good deal.",negative
Overdone. Overacted too often  the lack of logic,negative
"This movie is by far one of the worst super hero films ever,",negative
"It just wasn't very good. I definitely wouldn't have watched it if I read these reviews beforehand, because they are right.",negative
"It is beyond a doubt the worst movie ever made and should have been long forgotten and put into the same category as a cheap, nasty, horror and plot less freak. Don't wast your precious time with this piece of trash.",negative
"It is pedantic, relentlessly slow, full of cliched dialogue, methodically acted, and completely one-note throughout.",negative
"The story was just so very naive and predictable.  I found characters very uninteresting and poorly developed. The story,the characters,the things that movie is revolving about,just way to insignificant to captivate.",negative
